,DatumFileBegin,TijdFileBegin,FileDuur,RouteOms,OorzaakGronddetail,nr_accidents,weekday
305,2016-09-02,0 days 11:12:00,48.983,A2,File buiten spits (geen oorzaak gemeld),824,Friday
351,2016-09-02,0 days 14:10:00,25.533,A2,File buiten spits (geen oorzaak gemeld),824,Friday
1221,2016-09-23,0 days 12:52:00,2.867,A2,File buiten spits (geen oorzaak gemeld),824,Friday
1224,2016-09-24,0 days 12:50:00,23.883,A2,File buiten spits (geen oorzaak gemeld),824,Saturday
1668,2016-09-23,0 days 19:20:00,16.483,A2,File buiten spits (geen oorzaak gemeld),824,Friday
1755,2016-09-25,0 days 17:32:00,46.9,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
2151,2016-09-25,0 days 18:20:00,22.867,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
2722,2016-09-08,0 days 09:59:00,2.583,A2,File buiten spits (geen oorzaak gemeld),824,Thursday
2787,2016-09-03,0 days 13:53:00,7.533,A2,File buiten spits (geen oorzaak gemeld),824,Saturday
3199,2016-09-02,0 days 10:50:00,130.233,A2,File buiten spits (geen oorzaak gemeld),824,Friday
3572,2016-09-02,0 days 12:00:00,29.533,A2,File buiten spits (geen oorzaak gemeld),824,Friday
3677,2016-09-15,0 days 09:57:00,10.85,A2,File buiten spits (geen oorzaak gemeld),824,Thursday
4345,2016-09-30,0 days 13:06:00,16.217,A2,File buiten spits (geen oorzaak gemeld),824,Friday
4420,2016-09-30,0 days 12:53:00,3.883,A2,File buiten spits (geen oorzaak gemeld),824,Friday
4688,2016-09-30,0 days 13:00:00,2.867,A2,File buiten spits (geen oorzaak gemeld),824,Friday
4737,2016-09-30,0 days 14:36:00,0.883,A2,File buiten spits (geen oorzaak gemeld),824,Friday
4939,2016-09-30,0 days 13:43:00,12.867,A2,File buiten spits (geen oorzaak gemeld),824,Friday
5067,2016-09-30,0 days 13:32:00,6.883,A2,File buiten spits (geen oorzaak gemeld),824,Friday
5082,2016-09-29,0 days 19:18:00,3.917,A2,File buiten spits (geen oorzaak gemeld),824,Thursday
5134,2016-09-29,0 days 19:04:00,8.867,A2,File buiten spits (geen oorzaak gemeld),824,Thursday
5383,2016-09-29,0 days 19:04:00,5.933,A2,File buiten spits (geen oorzaak gemeld),824,Thursday
5517,2016-09-30,0 days 11:57:00,37.883,A2,File buiten spits (geen oorzaak gemeld),824,Friday
5553,2016-09-30,0 days 14:36:00,31.95,A2,File buiten spits (geen oorzaak gemeld),824,Friday
5568,2016-09-30,0 days 12:36:00,2.85,A2,File buiten spits (geen oorzaak gemeld),824,Friday
6167,2016-09-29,0 days 09:50:00,21.883,A2,File buiten spits (geen oorzaak gemeld),824,Thursday
6331,2016-09-13,0 days 19:12:00,2.883,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
6387,2016-09-13,0 days 10:39:00,3.85,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
6440,2016-09-13,0 days 09:59:00,5.85,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
6463,2016-09-13,0 days 09:57:00,9.867,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
6547,2016-09-09,0 days 13:59:00,7.517,A2,File buiten spits (geen oorzaak gemeld),824,Friday
7229,2016-09-09,0 days 14:44:00,1.533,A2,File buiten spits (geen oorzaak gemeld),824,Friday
7592,2016-09-23,0 days 12:15:00,24.867,A2,File buiten spits (geen oorzaak gemeld),824,Friday
7613,2016-09-28,0 days 19:18:00,2.85,A2,File buiten spits (geen oorzaak gemeld),824,Wednesday
7648,2016-09-25,0 days 19:19:00,10.867,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
7686,2016-09-27,0 days 10:02:00,5.867,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
7847,2016-09-25,0 days 17:22:00,8.933,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
7876,2016-09-23,0 days 18:58:00,17.333,A2,File buiten spits (geen oorzaak gemeld),824,Friday
7948,2016-09-25,0 days 17:05:00,5.9,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
8186,2016-09-28,0 days 19:27:00,2.883,A2,File buiten spits (geen oorzaak gemeld),824,Wednesday
8348,2016-09-25,0 days 08:31:00,2.867,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
8492,2016-09-12,0 days 11:49:00,31.817,A2,File buiten spits (geen oorzaak gemeld),824,Monday
8599,2016-09-09,0 days 11:35:00,21.533,A2,File buiten spits (geen oorzaak gemeld),824,Friday
8611,2016-09-09,0 days 10:43:00,21.517,A2,File buiten spits (geen oorzaak gemeld),824,Friday
8787,2016-09-06,0 days 09:59:00,18.517,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
9351,2016-09-10,0 days 14:21:00,11.583,A2,File buiten spits (geen oorzaak gemeld),824,Saturday
9479,2016-09-09,0 days 11:35:00,7.533,A2,File buiten spits (geen oorzaak gemeld),824,Friday
9792,2016-09-28,0 days 19:26:00,2.883,A2,File buiten spits (geen oorzaak gemeld),824,Wednesday
9887,2016-09-21,0 days 13:28:00,8.883,A2,File buiten spits (geen oorzaak gemeld),824,Wednesday
9922,2016-09-20,0 days 19:07:00,4.85,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
10335,2016-09-16,0 days 14:27:00,63.883,A2,File buiten spits (geen oorzaak gemeld),824,Friday
10429,2016-09-21,0 days 13:21:00,3.867,A2,File buiten spits (geen oorzaak gemeld),824,Wednesday
10583,2016-09-18,0 days 17:42:00,11.867,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
10775,2016-09-13,0 days 10:19:00,4.85,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
10796,2016-09-13,0 days 10:59:00,5.817,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
10906,2016-09-13,0 days 18:41:00,53.867,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
10969,2016-09-08,0 days 09:59:00,57.517,A2,File buiten spits (geen oorzaak gemeld),824,Thursday
11128,2016-09-13,0 days 10:13:00,5.833,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
11259,2016-09-13,0 days 19:37:00,11.85,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
11442,2016-09-13,0 days 10:15:00,44.817,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
11741,2016-09-14,0 days 10:07:00,19.45,A2,File buiten spits (geen oorzaak gemeld),824,Wednesday
11899,2016-09-23,0 days 11:21:00,3.833,A2,File buiten spits (geen oorzaak gemeld),824,Friday
12345,2016-09-28,0 days 19:12:00,3.867,A2,File buiten spits (geen oorzaak gemeld),824,Wednesday
12817,2016-09-27,0 days 18:52:00,18.367,A2,File buiten spits (geen oorzaak gemeld),824,Tuesday
13349,2016-09-08,0 days 10:18:00,6.533,A2,File buiten spits (geen oorzaak gemeld),824,Thursday
13797,2016-09-07,0 days 10:54:00,165.567,A2,File buiten spits (geen oorzaak gemeld),824,Wednesday
