,DatumFileBegin,TijdFileBegin,FileDuur,RouteOms,OorzaakGronddetail,nr_accidents,weekday
501,2016-09-15,0 days 09:45:00,43.8,A2,Ongeval (len) met olielekkage,2,Thursday
989,2016-09-16,0 days 15:53:00,27.883,A2,Ongeval(len),359,Friday
1765,2016-09-25,0 days 20:38:00,57.433,A2,Ongeval(len),359,Sunday
1843,2016-09-23,0 days 11:07:00,36.917,A2,Ongeval(len),359,Friday
2037,2016-09-22,0 days 18:25:00,48.483,A2,Ongeval(len),359,Thursday
2053,2016-09-23,0 days 15:53:00,45.217,A2,Ongeval(len),359,Friday
3181,2016-09-04,0 days 14:41:00,44.933,A2,Ongeval(len),359,Sunday
3247,2016-09-02,0 days 10:50:00,70.267,A2,Ongeval(len),359,Friday
3277,2016-09-06,0 days 09:30:00,12.067,A2,Ongeval(len),359,Tuesday
3315,2016-09-02,0 days 16:22:00,65.583,A2,Ongeval(len),359,Friday
3466,2016-09-02,0 days 15:50:00,16.55,A2,Ongeval(len),359,Friday
4358,2016-09-29,0 days 17:50:00,88.767,A2,Ongeval(len),359,Thursday
4639,2016-09-30,0 days 09:30:00,38.383,A2,Ongeval(len),359,Friday
4812,2016-09-30,0 days 16:59:00,31.117,A2,Ongeval(len),359,Friday
4830,2016-09-29,0 days 06:31:00,45.983,A2,Ongeval(len),359,Thursday
4954,2016-09-29,0 days 20:10:00,16.85,A2,Ongeval(len),359,Thursday
5439,2016-09-29,0 days 07:06:00,59.067,A2,Ongeval(len),359,Thursday
6093,2016-09-30,0 days 16:13:00,58.167,A2,Ongeval(len),359,Friday
6197,2016-09-10,0 days 11:26:00,107.417,A2,Ongeval(len),359,Saturday
6349,2016-09-07,0 days 22:26:00,53.533,A2,Ongeval(len),359,Wednesday
6424,2016-09-15,0 days 13:38:00,24.717,A2,Ongeval(len),359,Thursday
6445,2016-09-10,0 days 13:16:00,41.517,A2,Ongeval(len),359,Saturday
6489,2016-09-14,0 days 13:34:00,66.5,A2,Ongeval(len),359,Wednesday
6830,2016-09-10,0 days 11:58:00,2.533,A2,Ongeval(len),359,Saturday
6983,2016-09-07,0 days 07:38:00,22.45,A2,Ongeval(len),359,Wednesday
7331,2016-09-09,0 days 16:59:00,48.583,A2,Ongeval(len),359,Friday
7451,2016-09-26,0 days 15:55:00,66.583,A2,Ongeval(len),359,Monday
7938,2016-09-27,0 days 06:31:00,83.783,A2,Ongeval(len),359,Tuesday
7989,2016-09-27,0 days 17:45:00,37.117,A2,Ongeval(len),359,Tuesday
8243,2016-09-29,0 days 21:48:00,22.85,A2,Ongeval(len),359,Thursday
8261,2016-09-23,0 days 17:41:00,59.95,A2,Ongeval(len),359,Friday
8338,2016-09-27,0 days 12:12:00,90.417,A2,Ongeval(len),359,Tuesday
8537,2016-09-06,0 days 12:18:00,41.55,A2,Ongeval(len),359,Tuesday
8874,2016-09-06,0 days 12:11:00,6.983,A2,Ongeval(len),359,Tuesday
9646,2016-09-17,0 days 18:52:00,38.983,A2,Ongeval(len),359,Saturday
9934,2016-09-16,0 days 16:21:00,28.783,A2,Ongeval(len),359,Friday
9965,2016-09-16,0 days 17:27:00,34.433,A2,Ongeval(len),359,Friday
10149,2016-09-19,0 days 17:36:00,43.567,A2,Ongeval(len),359,Monday
10508,2016-09-21,0 days 17:31:00,15.467,A2,Ongeval(len),359,Wednesday
12016,2016-09-28,0 days 17:51:00,26.517,A2,Ongeval(len),359,Wednesday
12060,2016-09-26,0 days 17:18:00,9.333,A2,Ongeval(len),359,Monday
12318,2016-09-27,0 days 17:03:00,48.317,A2,Ongeval(len),359,Tuesday
12799,2016-09-27,0 days 17:02:00,67.683,A2,Ongeval(len),359,Tuesday
12962,2016-09-21,0 days 19:12:00,36.567,A2,Ongeval(len),359,Wednesday
13113,2016-09-08,0 days 13:29:00,43.2,A2,Ongeval(len),359,Thursday
13323,2016-09-07,0 days 16:45:00,38.917,A2,Ongeval(len),359,Wednesday
13698,2016-09-07,0 days 16:01:00,68.433,A2,Ongeval(len),359,Wednesday
