,DatumFileBegin,TijdFileBegin,FileDuur,RouteOms,OorzaakGronddetail,nr_accidents,weekday
1,2016-09-20,0 days 16:42:00,8.017,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7,2016-09-20,0 days 17:30:00,6.167,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
9,2016-09-20,0 days 16:39:00,4.017,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
12,2016-09-20,0 days 16:39:00,24.0,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
19,2016-09-21,0 days 16:42:00,18.033,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
26,2016-09-21,0 days 16:41:00,16.067,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
41,2016-09-19,0 days 08:01:00,54.0,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
47,2016-09-15,0 days 08:09:00,42.017,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
58,2016-09-16,0 days 16:22:00,26.967,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
73,2016-09-16,0 days 15:21:00,4.85,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
97,2016-09-08,0 days 16:19:00,13.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
100,2016-09-15,0 days 16:15:00,3.983,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
106,2016-09-15,0 days 07:49:00,11.017,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
107,2016-09-15,0 days 08:37:00,1.633,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
120,2016-09-19,0 days 17:03:00,24.017,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
127,2016-09-16,0 days 16:06:00,14.967,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
130,2016-09-15,0 days 15:54:00,4.933,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
142,2016-09-08,0 days 17:31:00,54.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
146,2016-09-16,0 days 15:45:00,19.95,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
147,2016-09-09,0 days 17:47:00,1.6,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
159,2016-09-15,0 days 09:10:00,7.933,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
167,2016-09-16,0 days 17:37:00,5.033,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
174,2016-09-16,0 days 17:33:00,22.0,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
176,2016-09-16,0 days 17:52:00,5.0,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
196,2016-09-16,0 days 18:01:00,6.967,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
220,2016-09-16,0 days 15:32:00,4.9,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
223,2016-09-15,0 days 18:41:00,0.933,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
247,2016-09-20,0 days 09:06:00,10.967,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
251,2016-09-15,0 days 07:01:00,2.883,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
268,2016-09-20,0 days 08:28:00,3.033,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
274,2016-09-15,0 days 08:50:00,3.017,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
283,2016-09-20,0 days 18:14:00,23.933,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
284,2016-09-20,0 days 16:03:00,8.867,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
299,2016-09-21,0 days 16:43:00,10.033,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
302,2016-09-01,0 days 16:21:00,30.683,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
320,2016-09-21,0 days 17:06:00,3.033,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
339,2016-09-20,0 days 08:20:00,29.017,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
348,2016-09-20,0 days 15:53:00,5.9,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
358,2016-09-15,0 days 18:02:00,4.033,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
365,2016-09-20,0 days 16:43:00,56.1,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
375,2016-09-21,0 days 16:30:00,6.017,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
418,2016-09-15,0 days 09:45:00,1.85,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
433,2016-09-01,0 days 17:22:00,14.6,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
440,2016-09-16,0 days 16:21:00,9.967,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
442,2016-09-19,0 days 16:16:00,6.95,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
455,2016-09-19,0 days 08:23:00,9.033,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
457,2016-09-19,0 days 18:05:00,0.9,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
458,2016-09-08,0 days 08:43:00,17.6,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
