,DatumFileBegin,TijdFileBegin,FileDuur,RouteOms,OorzaakGronddetail,nr_accidents,weekday
2787,2016-09-03,0 days 13:53:00,7.533,A2,File buiten spits (geen oorzaak gemeld),824,Saturday
9351,2016-09-10,0 days 14:21:00,11.583,A2,File buiten spits (geen oorzaak gemeld),824,Saturday
10583,2016-09-18,0 days 17:42:00,11.867,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
1224,2016-09-24,0 days 12:50:00,23.883,A2,File buiten spits (geen oorzaak gemeld),824,Saturday
8348,2016-09-25,0 days 08:31:00,2.867,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
7948,2016-09-25,0 days 17:05:00,5.9,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
7847,2016-09-25,0 days 17:22:00,8.933,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
1755,2016-09-25,0 days 17:32:00,46.9,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
2151,2016-09-25,0 days 18:20:00,22.867,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
7648,2016-09-25,0 days 19:19:00,10.867,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
