,DatumFileBegin,TijdFileBegin,FileDuur,RouteOms,OorzaakGronddetail,nr_accidents,weekday
2813,2016-09-01,0 days 07:51:00,5.533,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
9086,2016-09-01,0 days 07:51:00,9.533,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
5728,2016-09-01,0 days 07:56:00,17.517,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
9155,2016-09-01,0 days 08:03:00,30.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
2825,2016-09-01,0 days 08:19:00,1.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
5808,2016-09-01,0 days 08:39:00,18.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8976,2016-09-01,0 days 08:58:00,1.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
2625,2016-09-01,0 days 09:07:00,4.533,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
5913,2016-09-01,0 days 09:13:00,5.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
952,2016-09-01,0 days 09:23:00,2.517,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8917,2016-09-01,0 days 15:20:00,14.333,A2,Defecte vrachtwagen(s),89,Thursday
13684,2016-09-01,0 days 16:14:00,4.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
302,2016-09-01,0 days 16:21:00,30.683,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
3154,2016-09-01,0 days 16:22:00,19.6,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
2607,2016-09-01,0 days 16:32:00,5.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
3271,2016-09-01,0 days 16:34:00,7.6,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8857,2016-09-01,0 days 16:36:00,12.617,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
5776,2016-09-01,0 days 16:40:00,24.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
3266,2016-09-01,0 days 16:41:00,12.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
851,2016-09-01,0 days 16:51:00,5.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
9227,2016-09-01,0 days 16:51:00,2.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
3146,2016-09-01,0 days 16:57:00,35.6,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7574,2016-09-01,0 days 16:57:00,5.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
962,2016-09-01,0 days 17:02:00,8.6,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
2608,2016-09-01,0 days 17:05:00,11.617,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8652,2016-09-01,0 days 17:18:00,41.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8846,2016-09-01,0 days 17:18:00,11.6,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
5744,2016-09-01,0 days 17:20:00,42.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
433,2016-09-01,0 days 17:22:00,14.6,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8871,2016-09-01,0 days 17:22:00,3.417,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8925,2016-09-01,0 days 17:23:00,6.6,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
3437,2016-09-01,0 days 17:30:00,5.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8769,2016-09-01,0 days 17:30:00,5.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
5592,2016-09-01,0 days 17:33:00,26.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
3201,2016-09-01,0 days 17:36:00,27.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
2911,2016-09-01,0 days 17:37:00,2.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8739,2016-09-01,0 days 17:39:00,30.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
5658,2016-09-01,0 days 18:03:00,8.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
2843,2016-09-01,0 days 18:07:00,7.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8836,2016-09-01,0 days 18:10:00,9.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
2942,2016-09-01,0 days 18:17:00,5.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
5723,2016-09-01,0 days 18:24:00,5.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
2844,2016-09-01,0 days 18:35:00,5.517,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
986,2016-09-01,0 days 18:39:00,9.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
3199,2016-09-02,0 days 10:50:00,130.233,A2,File buiten spits (geen oorzaak gemeld),824,Friday
3247,2016-09-02,0 days 10:50:00,70.267,A2,Ongeval(len),359,Friday
305,2016-09-02,0 days 11:12:00,48.983,A2,File buiten spits (geen oorzaak gemeld),824,Friday
3572,2016-09-02,0 days 12:00:00,29.533,A2,File buiten spits (geen oorzaak gemeld),824,Friday
351,2016-09-02,0 days 14:10:00,25.533,A2,File buiten spits (geen oorzaak gemeld),824,Friday
3166,2016-09-02,0 days 14:58:00,5.533,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
9399,2016-09-02,0 days 15:27:00,43.55,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
5950,2016-09-02,0 days 15:35:00,132.233,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
3107,2016-09-02,0 days 15:44:00,36.533,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
3398,2016-09-02,0 days 15:50:00,7.533,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
3466,2016-09-02,0 days 15:50:00,16.55,A2,Ongeval(len),359,Friday
959,2016-09-02,0 days 16:05:00,16.55,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
3480,2016-09-02,0 days 16:05:00,1.55,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8793,2016-09-02,0 days 16:13:00,2.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
